MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Abey Road,COBBLEBANK,BCD,May-24
Acacia Street,GLENROY,BCD,Aug-24
Adam Street,GOLDEN SQUARE,ACD,Oct-24
Agar Road,CORONET BAY,BC,Sep-24
Airport Drive,MELBOURNE AIRPORT,ABCD,T
Aitken Boulevard,ROXBURGH PARK,ABC,Aug-24
Aitken Boulevard,CRAIGIEBURN,ABCD,Aug-24
Aitken Street,ALEXANDRA,C,Apr-24
Albert Road,WARRAGUL,ABC,T
Albert Road,SOUTH MELBOURNE,ABCD,Apr-24
Albert Street,EAST MELBOURNE,A,Aug-24
Albion Street,BRUNSWICK WEST,ABC,Aug-24
Alexanders Road,MORWELL,BC,Feb-24
Alexandra Street,GREENSBOROUGH,BD,May-24
Alfred Street,HEIDELBERG HEIGHTS,ABCD,Apr-24
Allan Street,KYABRAM,ABCD,May-24
Allenby Avenue,RESERVOIR,C,Aug-24
Allies Road,MYERS FLAT,AC,Oct-24
Allingham Street,KANGAROO FLAT,BCD,Oct-24
Alma Street,TOOTGAROOK,BC,Sep-24
Ambrose Treacy Drive,BUNDOORA,BC,Aug-24
Anakie Road,BELL PARK,BC,Aug-24
Anderson Road,SUNSHINE,ABCD,Jun-24
Anderson Road,FAWKNER,C,Aug-24
Anderson Street,MELBOURNE,BCD,Aug-24
Andersons Creek Road,DONCASTER EAST,ABCD,Jun-24
Anzac Avenue,SEYMOUR,ABCD,T
Anzac Parade,BANDIANA,ABCD,Oct-24
Anzac Road,TRAFALGAR,B,T
Apollo Road,TAYLORS LAKES,BC,May-24
Ararat-Halls Gap Road,POMONAL,ABC,Oct-24
Ararat-Halls Gap Road,JALLUKAR,AC,Oct-24
Ararat-Halls Gap Road,MOYSTON,AC,Oct-24
Arcadia Avenue,THE BASIN,ABCD,Jul-24
Army Road,PAKENHAM,B,Apr-24
Army Road,PAKENHAM UPPER,BC,Apr-24
Arnot Street,BONNIE DOON,BCD,Apr-24
Arthur Street,ST ALBANS,BCD,Jun-24
Arthurs Creek Road,ARTHURS CREEK,ABC,Aug-24
Arthurs Creek Road,YAN YEAN,AC,Aug-24
Arthurs Seat Road,RED HILL,BCD,Sep-24
Arundel Road,KEILOR,C,May-24
Ascot Vale Road,ASCOT VALE,C,Aug-24
Atherton Road,OAKLEIGH,ABCD,Jun-24
Atkins Road,PAKENHAM,B,Apr-24
Auburn Road,HAWTHORN,ABD,Jun-24
Aughtie Drive,ALBERT PARK,BC,Jun-24
Avenel Road,SEYMOUR,BC,Aug-24
Avenel-Nagambie Rd,AVENEL,C,Aug-24
Avenel-Nagambie Road,AVENEL,C,Aug-24
Avenue of Honour,WOODEND NORTH,ACD,May-24
Averys Road,EAGLEHAWK,ABCD,Oct-24
Avondale Avenue,ST ALBANS,BC,May-24
Axe Creek Road,AXE CREEK,C,Oct-24
Bacchus Marsh Road,CORIO,ABCD,Sep-23
Bacchus Marsh Road,LITTLE RIVER,ABCD,T
Back Beach Road,VENTNOR,A,Sep-24
Back Eildon Road,THORNTON,C,Apr-24
Back Porepunkah Road,POREPUNKAH,ABCD,Apr-24
Bakers Road,NOBLE PARK NORTH,C,Aug-24
Balcombe Road,BEAUMARIS,ABC,Mar-24
Balcombe Road,MENTONE,AC,Jun-24
